model,precision,resolution,hardware,fps,latency_ms,size_mb,map50,A_norm,F_norm,S_norm,utility,feasible,constraint_violation,pareto_optimal
YOLOv8m,INT8 Dynamic,640,GPU2,36.8402,27.14426088892025,99.0,0.723554,0.8606860471147934,0.4918248137424262,0.9950088385151294,0.3788886999770986,False,0.98,True
YOLOv8s,FP32,320,GPU1,57.3142,17.44768312215821,42.67,0.614213,0.4555603310929477,0.7705339361095342,0.4092752417593844,0.3770852980274572,False,0.03578700000000001,False
YOLOv8s,INT8 Static,640,CPU1,5.7725,173.235166738848,11.14,0.691776,0.7429435259768649,0.0689054330173795,0.08141832172195071,0.37585972854925614,False,0.7323516673884799,False
YOLOv8n,INT8 Static,640,CPU2,19.7071,50.74313318550167,3.43,0.651404,0.5933588742246956,0.25859480180397254,0.0012477903712176366,0.37400831957929603,True,0.0,False
YOLOv8m,INT8 Static,640,CPU1,2.677,373.5524841240194,25.34,0.713427,0.823163908793823,0.026766911561514346,0.22907351564937092,0.3737973247354916,False,2.735524841240194,False
YOLOv8m,FP32,640,GPU2,35.0169,28.55763931130397,99.0,0.723554,0.8606860471147934,0.46700453715690554,0.9950088385151294,0.37144261700144243,False,0.98,False
YOLOv8m,FP16,640,CPU2,9.5101,105.1513653904796,49.51,0.723518,0.8605526614152222,0.1197847539004167,0.4803992929187896,0.3701318982939782,False,0.051513653904795974,False
YOLOv8s,FP16,320,CPU2,43.4874,22.99516641601935,21.35,0.614328,0.4559864242999103,0.5823120306125366,0.18758448580638457,0.3651699241724392,False,0.03567200000000004,False
YOLOv8m,INT8 Dynamic,320,GPU2,60.999,16.39371137231758,98.88,0.66091,0.6285801092280674,0.8206944994629738,0.9937610481439118,0.3617461948241434,False,0.9775999999999999,True
YOLOv8s,FP32,640,CPU1,10.3011,97.07701119297938,42.79,0.709116,0.8071909712702023,0.13055250401238225,0.41052303213060204,0.36065663041269547,True,0.0,False
YOLOv8n,INT8 Static,640,CPU1,15.5196,64.43465037758705,3.43,0.653009,0.5993056533305666,0.20159106780415492,0.0012477903712176366,0.35988058893228625,True,0.0,False
YOLOv8s,INT8 Dynamic,640,CPU1,9.8318,101.71077523952889,42.79,0.707885,0.8026299213765404,0.12416400195480268,0.41052303213060204,0.3564595548485906,False,0.017107752395288854,False
YOLOv8m,FP16,640,CPU1,3.2922,303.7482534475427,49.51,0.723501,0.8604896737237581,0.03514152580788754,0.4803992929187896,0.34470743602048737,False,2.0374825344754273,False
YOLOv8m,FP32,1280,GPU2,13.1702,75.92899120742283,99.48,0.757285,0.985664742454445,0.16960908030345725,1.0,0.34371509531825967,False,0.9896,False
YOLOv8m,INT8 Dynamic,1280,GPU2,13.1065,76.29802006637928,99.48,0.757285,0.985664742454445,0.16874194290506006,1.0,0.34345495409874055,False,0.9896,False
