model,precision,resolution,hardware,fps,latency_ms,size_mb,map50
YOLOv8n,INT8 Dynamic,1280,CPU2,7.5783,131.9557156618239,12.74,0.725776
YOLOv8s,INT8 Dynamic,1280,CPU2,5.0016,199.9360204734485,43.27,0.760904
YOLOv8m,INT8 Dynamic,1280,CPU2,2.5723,388.75714341251023,99.48,0.757325
YOLOv8n,INT8 Static,320,CPU2,48.3574,20.679358278153913,3.31,0.49791
YOLOv8s,INT8 Static,320,CPU2,29.5353,33.85779050830701,11.02,0.564358
YOLOv8m,INT8 Static,320,CPU2,16.4254,60.88131795877117,25.22,0.628468
YOLOv8n,INT8 Static,640,CPU2,19.7071,50.74313318550167,3.43,0.651404
YOLOv8s,INT8 Static,640,CPU2,11.552,86.56509695290859,11.14,0.691228
YOLOv8m,INT8 Static,640,CPU2,6.2983,158.77300223869932,25.34,0.715222
YOLOv8n,INT8 Static,1280,CPU2,6.0194,166.12951456955844,3.91,0.704724
YOLOv8s,INT8 Static,1280,CPU2,3.3785,295.9893443836022,11.62,0.734559
YOLOv8m,INT8 Static,1280,CPU2,1.7779,562.4613307835086,25.82,0.75715
